fecha,radiacion,precipitacion_total,viento_promedio,rocio_max,rocio_min,temp_max,temp_min,presion_max,presion_min
13/12/2017,19.39,0,6,1.7,-4,22.6,0.8,788.2,782.3
14/12/2017,19.56,0,6.4,1.2,-2.3,23.8,8.5,787.5,781.3
15/12/2017,19.26,0,9.3,6.2,-4,24.2,5.6,786.9,779
16/12/2017,17.9,0,15.8,7.7,2.6,21.4,7.3,787.9,781.1
17/12/2017,14.3,0.2,6.3,7.9,3.4,21.9,8.1,789.4,782.2
18/12/2017,17.7,0,6.9,8.9,1.3,23.5,7.8,790.2,783.4
19/12/2017,17.62,0,6.2,8.4,0.9,23.5,8,790.8,784.8
20/12/2017,19.23,0,5.4,6.3,-10.9,24.6,9.5,790.9,784.8
21/12/2017,19.09,0,5.4,6.9,-0.7,24.5,7.9,789.3,783.3
22/12/2017,18.95,0,6.3,4.9,-5.6,24.2,7.5,788.8,781.1
23/12/2017,19.23,0,7.3,8.9,-1,23.2,7.4,790.6,784
24/12/2017,17.14,0,7.2,9.2,-3.5,23.6,7.5,791.5,786
25/12/2017,18.21,0,6.3,7.3,0.6,21.9,8.3,791.3,787.1
26/12/2017,18.96,0,6.4,7.6,-6.9,23.5,6.6,790.7,785
27/12/2017,19.46,0,8.6,7.7,-5.1,23.6,6,791.1,784.6
28/12/2017,17.97,0,7.2,7.3,-2.4,22.2,8.9,790.4,787.4
29/12/2017,16.87,0,7.5,7.7,-5.5,21.3,8.2,790.9,786.1
30/12/2017,18.51,0,6.1,8.1,-6.5,22,6.8,789.6,785.1
31/12/2017,17.74,0.1,5.8,5,-3.3,21.6,6.6,790.5,783.5
01/01/2018,14.8,0.4,11.5,6.2,2.7,18.6,8.4,791.8,786.9
02/01/2018,15.47,0,6.6,5.8,-0.1,20.6,5.6,790.1,785.6
03/01/2018,16.73,0,7.5,6.7,1.5,21.7,8.8,789.6,784.3
04/01/2018,18.69,0,6.3,6,2.3,22,6.8,789.3,782.9
05/01/2018,17.24,0,6.5,6.6,0.2,22.6,9.5,790.5,784.8
06/01/2018,19.13,0,8.3,6.7,-2.6,21.5,6.7,791.1,784.4
07/01/2018,19.98,0,5,6.1,-9.1,22.8,4.6,789,783.2
08/01/2018,19.96,0,10.3,6,-0.8,21.8,7.6,789.4,782.2
09/01/2018,20.19,0,6.2,4.8,-19.1,23.5,2.3,788.5,782
10/01/2018,20.87,0,4.8,5.3,-13.3,24.2,5.3,787.8,781.1
11/01/2018,20.43,0,7.5,5.4,-8.2,25.2,5.3,787.5,778.5
12/01/2018,20.06,0.1,8.8,6.6,-8.3,22,7.6,788.7,784.8
13/01/2018,20.96,0,11.6,1.8,-8,20.7,3.4,791.1,782.3
14/01/2018,19.48,0.1,9,2,-11.8,19.1,1.2,790.6,784.6
15/01/2018,20.52,0,7.1,2.9,-10.7,20.8,0.3,787.9,782.1
16/01/2018,20.9,0,10.4,2,-7.7,20.8,3.2,789.9,782.5
17/01/2018,20.24,0,8.2,2.9,-3.8,19.7,3.3,790.5,784.9
18/01/2018,19.34,0,7.8,3.7,-3.2,19.8,3.4,789.2,783.8
19/01/2018,20.22,0,6.8,2.5,-7.1,20.6,3.9,788.3,780.9
